iter	Passed	Remaining
0	1	150
1	2	136
2	4	129
3	5	124
4	6	119
5	7	116
6	8	114
7	9	113
8	11	112
9	12	110
10	13	109
11	14	108
12	16	108
13	17	107
14	18	106
15	20	105
16	21	103
17	22	102
18	23	100
19	24	99
20	26	97
21	27	96
22	28	94
23	29	93
24	30	92
25	31	90
26	33	89
27	34	88
28	35	86
29	36	85
30	37	84
31	39	83
32	40	82
33	41	80
34	42	79
35	43	78
36	45	76
37	46	75
38	47	74
39	48	72
40	49	71
41	50	70
42	52	69
43	53	67
44	54	66
45	55	65
46	57	64
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	64	57
53	66	56
54	67	55
55	68	53
56	69	52
57	71	51
58	72	50
59	73	49
60	74	47
61	75	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	34
72	89	32
73	90	31
74	91	30
75	92	29
76	93	28
77	95	26
78	95	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	102	18
85	104	16
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	112	8
93	113	7
94	114	6
95	115	4
96	117	3
97	118	2
98	119	1
99	120	0
