iter	Passed	Remaining
0	2	2764
1	5	2535
2	7	2532
3	10	2564
4	12	2495
5	14	2425
6	17	2478
7	20	2490
8	23	2560
9	25	2551
10	27	2511
11	30	2476
12	32	2446
13	35	2484
14	39	2584
15	42	2615
16	45	2659
17	49	2692
18	52	2693
19	54	2694
20	57	2690
21	60	2706
22	63	2707
23	66	2716
24	69	2728
25	73	2738
26	77	2778
27	80	2798
28	83	2796
29	87	2830
30	91	2873
31	95	2897
32	99	2918
33	103	2937
34	108	2984
35	113	3027
36	116	3032
37	120	3041
38	124	3063
39	128	3089
40	134	3136
41	140	3195
42	143	3192
43	147	3197
44	150	3185
45	153	3188
46	156	3177
47	159	3161
48	162	3153
49	165	3143
50	168	3142
51	171	3133
52	174	3120
53	177	3115
54	181	3113
55	184	3109
56	187	3095
57	189	3082
58	192	3067
59	194	3049
60	197	3039
61	200	3026
62	202	3013
63	204	2994
64	207	2978
65	209	2964
66	212	2953
67	214	2943
68	216	2927
69	219	2910
70	221	2892
71	223	2875
72	225	2865
73	228	2857
74	230	2843
75	233	2834
76	235	2821
77	237	2809
78	240	2798
79	242	2793
80	245	2782
81	247	2771
82	248	2747
83	250	2732
84	252	2719
85	255	2711
86	257	2701
87	259	2689
88	261	2677
89	263	2664
90	265	2651
91	267	2639
92	269	2626
93	271	2616
94	273	2608
95	275	2598
96	277	2587
97	280	2577
98	281	2565
99	283	2552
100	285	2541
101	287	2532
102	289	2520
103	291	2508
104	293	2498
105	294	2487
106	296	2476
107	298	2465
108	300	2454
109	302	2446
110	304	2440
111	306	2429
112	308	2420
113	310	2412
114	312	2404
115	314	2395
116	315	2384
117	318	2377
118	320	2370
119	322	2364
120	324	2357
121	326	2346
122	327	2338
123	329	2329
124	331	2323
125	334	2317
126	335	2306
127	337	2298
128	339	2291
129	341	2285
130	343	2276
131	345	2269
132	347	2263
133	349	2256
134	351	2252
135	353	2248
136	355	2240
137	357	2233
138	359	2224
139	361	2218
140	362	2211
141	364	2200
142	365	2192
143	367	2185
144	369	2177
145	371	2170
146	372	2163
147	374	2156
148	376	2150
149	378	2144
150	380	2138
151	382	2132
152	383	2125
153	385	2118
154	387	2112
155	389	2105
156	391	2100
157	393	2095
158	395	2090
159	396	2083
160	398	2074
161	399	2068
162	401	2061
163	403	2055
164	405	2049
165	407	2045
166	409	2040
167	410	2034
168	412	2028
169	414	2022
170	415	2016
171	417	2010
172	419	2004
173	421	1999
174	423	1994
175	424	1988
176	426	1983
177	428	1978
178	430	1972
179	431	1967
180	433	1961
181	435	1957
182	437	1953
183	439	1948
184	441	1943
185	442	1938
186	444	1932
187	446	1927
188	448	1922
189	449	1917
190	452	1915
191	453	1910
192	455	1904
193	457	1899
194	458	1894
195	460	1889
196	462	1884
197	463	1878
198	466	1876
199	468	1873
200	470	1869
201	471	1864
202	473	1860
203	475	1855
204	477	1850
205	478	1845
206	481	1842
207	483	1839
208	485	1835
209	487	1832
210	488	1828
211	490	1824
212	492	1820
213	494	1817
214	497	1815
215	499	1811
216	500	1807
217	502	1802
218	504	1798
219	506	1794
220	508	1791
221	510	1787
222	512	1784
223	513	1780
224	516	1777
225	517	1774
226	519	1770
227	521	1767
228	523	1763
229	525	1760
230	528	1757
231	529	1753
232	531	1749
233	533	1745
234	535	1742
235	537	1738
236	538	1734
237	540	1730
238	542	1727
239	544	1723
240	546	1719
241	547	1716
242	549	1712
243	551	1709
244	553	1706
245	555	1703
246	557	1700
247	559	1697
248	561	1693
249	563	1689
250	565	1686
251	567	1683
252	568	1679
253	570	1675
254	572	1673
255	574	1670
256	576	1666
257	578	1663
258	580	1660
259	581	1656
260	583	1652
261	585	1649
262	587	1646
263	589	1643
264	591	1640
265	593	1636
266	594	1633
267	596	1629
268	598	1625
269	599	1622
270	601	1619
271	603	1616
272	605	1612
273	607	1609
274	609	1605
275	610	1602
276	612	1598
277	614	1595
278	616	1593
279	618	1590
280	620	1586
281	622	1583
282	623	1580
283	625	1576
284	627	1573
285	628	1570
286	630	1566
287	632	1564
288	634	1560
289	636	1557
290	637	1553
291	639	1550
292	641	1546
293	642	1543
294	644	1539
295	646	1536
296	647	1533
297	649	1530
298	651	1527
299	653	1523
300	654	1520
301	656	1517
302	658	1513
303	659	1510
